type,public_2018,paper_count_2018,public_2019,paper_count_2019,conf.low,conf.high
hardware,4,10,5,7,-0.6722839627947126,0.1759791612625122
qualcodebook,2,14,3,25,-0.19463593210492813,0.3019024160930088
qualcoded,4,31,4,29,-0.19988359684938847,0.17670078888883578
qualraw,6,34,2,20,-0.1493857148815604,0.2605560288709752
quancode,3,16,6,27,-0.26969612720939845,0.24441796417037648
quanprocessed,14,28,9,31,-0.041483479161416356,0.43866837793780905
quanraw,5,29,6,34,-0.1963604032147003,0.19846209079692137
software,12,26,15,29,-0.3094403876550002,0.2057129302771085
study,11,40,11,39,-0.2055708803427525,0.19096947438441794
